#,开仓时间,平仓时间,交易对,方向,持仓方式,数量,开仓均价,平仓价格,已实现盈亏,手续费,手续费币种,净盈亏,计划止损价,初始风险（USDC）,MFE 最大浮盈,MAE 最大浮亏,MFE（R）,MAE（R）,净盈亏（R）,盈利兑现率,盈利回撤（USDC）,指标计算状态,开仓订单编号,平仓订单编号,复盘：市场状态,复盘：Setup 名称,复盘：Setup 情景,复盘：入场依据,复盘：信号 K 和入场触发方式,复盘：A/B/C 级机会,复盘：评估胜率,复盘：第一目标价,复盘：计划盈亏比,复盘：期望值（R）,复盘：机会分数,复盘：是否计划内交易,复盘：第二次入场时首仓盈亏,复盘：计划止损价,复盘：实际止损成交价,复盘：第一目标,复盘：结构目标,复盘：最终退出理由,复盘：冷静期 / 停手机制
11,2026/09/18 13:27:18,2026/09/18 15:06:01,BTCUSDC,空,双向,0.03,77451.33333,77634.2,-5.486,1.5508016,USDC,-7.0368016,77636,5.54,1.0748088,7.0368016,0.194008809,1.270180794,-1.270180794,0.00%,8.1116104,CALCULATED,"[76630425533,76632394026,76639492826]",[1000002570389735],区间,其他,,大量的长上影及大阴线，看起来有向下调整需求,,B,50%,77082,2,0.5,62.5,是,亏损,77636,,,,向下突破失败，连续向上突破，这里有几次打平离场的机会，但是看起来又有比较大的向下调整空间，从最开始的突破来看这里整体应该是急速与通道，但是这里通道看起来比较弱，空头是有套利空间，但是空间也并不多，这里逆着趋势做，就不要有太多的空间期望。,
12,2026/09/18 13:11:14,2026/09/18 13:16:06,BTCUSDC,空,双向,0.01,77498.8,77425.97,0.7283,0.30970388,USDC,0.41859612,77587,0.882,0.958,0.434,1.0861678,0.492063492,0.474598776,43.69%,0.53940388,CALCULATED,[76628393706],[1000002570271866],高潮 / 反转,其他,,出现了大阴线和连续的长上影阳线，卖压很大,,B,50%,77322.4,2,0.5,62.5,是,,77587,,,,这里连续的长上影，大阴线，看起来会下跌，其实一直在缓慢上涨，这里现在复盘看起来更像是空头陷阱，空头一直试图将价格打压下去，但是多头总能最后掰回来,
13,2026/09/18 11:14:54,2026/09/18 12:43:48,BTCUSDC,多,双向,0.02,77236.9,77244.3,0.148,0.6178952,USDC,-0.4698952,76820,8.338,5.1321048,2.7538952,0.615507892,0.330282466,-0.056355865,0.00%,5.602,CALCULATED,"[76618363523,76618366059]",[76626057056],趋势,突破区间（往上收高点附近，往下收低点附近）,,强力突破区间上沿，收在了K线高点附近,,B,55%,78070.7,2,0.65,66.25,是,盈利,76820,,,,出现了购买高潮后开始回调，入场价格太高，担心继续向下回调,
14,2026/09/18 07:45:41,2026/09/18 10:31:02,BTCUSDC,多,双向,0.01,76342.1,76893.3,5.512,0.3053684,USDC,5.2066316,76165,1.771,5.2066316,1.7263684,2.939938792,0.974798645,2.939938792,100.00%,0,CALCULATED,[76601759168],[76612451220],趋势,其他,,站稳ema20，预期继续上涨,,B,50%,76696.3,2,0.5,62.5,,,76165,,,,,
15,2026/09/18 00:38:36,2026/09/18 01:44:36,BTCUSDC,多,双向,0.012,76574.80833,76693.2,1.4207,0.36812736,USDC,1.05257264,76437,1.6537,3.8867,0.8941,2.350305376,0.540666385,0.636495519,27.08%,2.83412736,CALCULATED,"[76565598538,76565625298,76566347769]",[76572012739],区间,其他,,向下突破失败，形成双底，继续反弹,5m | #506 | 2026/09/18 01:35:00,B,50%,76850.425,2,0.5,62.5,是,盈利,76437,,,,出现反转大阴线，跟随继续下跌,
16,2026/09/17 23:11:11,2026/09/18 00:34:03,BTCUSDC,多,双向,0.02,76410.75,76485.17,1.4884,0.61188136,USDC,0.87651864,76299,2.235,5.518,0.573,2.468903803,0.256375839,0.392178362,15.88%,4.64148136,CALCULATED,"[76555655326,76564804128]",[1000002569444881],区间,其他,,第二腿上涨调整完成，继续第三腿上涨,,B,50%,76634.25,2,0.5,62.5,,盈利,76299,,,,收敛三角出现向下突破，提前离场,
17,2026/09/17 22:30:15,2026/09/17 23:08:47,BTCUSDC,空,双向,0.01,76830.7,76324.8,5.059,0.612622,USDC,4.446378,76999,1.683,6.0986772,1.3323228,3.623694118,0.791635651,2.641935829,72.91%,1.6522992,CALCULATED,[76551253544],[76555502517],区间,双 K 线反转（Two-Bar Reversal）,普通逆势反转,与前高形成双顶，出现长上影阴线,5m | #497 | 2026/09/17 22:25:00,C,40%,76494.1,2,0.2,55,,,76999,,,,下跌势能衰减,
18,2026/09/17 22:22:22,2026/09/17 22:25:06,BTCUSDC,空,双向,0.01,76803.8,76914,-1.102,0.6148712,USDC,-1.7168712,76904,1.002,0.1707848,1.7168712,0.170443912,1.713444311,-1.713444311,0.00%,1.887656,CALCULATED,[76550232484],[1000002569205296],区间,双 K 线反转（Two-Bar Reversal）,普通逆势反转,双K线反转做空,5m | #500 | 2026/09/17 22:15:00,C,40%,76603.4,2,0.2,55,否,,76904,,,,向下突破失败，提前离场，这里连着3笔交易，缺少了耐心，反复进场和出场，21:35分在区间下沿开盘反转做多后，出现量能衰落时，可以先不用急着离场，可以多观察几根K线，这里双K线反转也是同样情况，在区间交易中光头阳线和阴线很多都是陷阱，这里已经小亏了两笔；,
19,2026/09/17 21:56:39,2026/09/17 22:06:24,BTCUSDC,空,双向,0.01,76554.3,76441.7,1.126,0.3057668,USDC,0.8202332,76687,1.327,2.622,1.319,1.975885456,0.993971364,0.618110927,31.28%,1.8017668,CALCULATED,[76546883551],[76548243480],区间,其他,,反弹至第二次下跌的起点，形成双顶,5m | #492 | 2026/09/17 21:15:00,B,50%,76288.9,2,0.5,62.5,是,,76687,,,,向下突破失败，提前离场,
20,2026/09/17 21:38:54,2026/09/17 21:52:31,BTCUSDC,多,双向,0.01,75961.6,76370,4.084,0,USDC,4.084,75560,,4.084,0.452,,,,100.00%,0,CALCULATED,[76544423307],[76546420404],区间,其他,,前面低点形成双底,,B,50%,76764.8,2,0.5,62.5,是,,75560,,,,反弹出现连续长上影，量能衰落，提前止盈离场,
21,2026/09/17 21:13:32,2026/09/17 21:35:53,BTCUSDC,空,双向,0.01,76570.1,76130,4.401,0.3062804,USDC,4.0947196,76800,2.299,4.0947196,1.2052804,1.781087255,0.524262897,1.781087255,100.00%,0,CALCULATED,[76541654640],[76542923139],趋势,双 K 线反转（Two-Bar Reversal）,关键位置 + 强信号,在购买高潮后，出现急速下跌，出现第一次反转后大概率失败，在反弹失败后，出现向下突破大阴线，继续做空,,B,60%,76110.3,2,0.8,70,是,,76800,,,,突破了最近的低点，和在前面一个低点形成双底,
22,2026/09/17 16:37:54,2026/09/17 17:22:41,BTCUSDC,多,双向,0.01,76438,76643.6,2.056,0.305752,USDC,1.750248,76297,1.41,1.862248,1.128752,1.320743262,0.800533333,1.241310638,93.99%,0.112,CALCULATED,[76518372485],[76521004293],区间,双顶熊旗 / 双底牛旗（Double Top Bear Flag / Double Bottom Bull Flag）,突破颈线并完成测量移动,,5m | #495 | 2026/09/17 16:30:00 | stop buy订单,C,40%,76720,2,0.2,55,,,76297,,,,,
23,2026/09/17 14:33:58,2026/09/17 16:30:58,BTCUSDC,多,双向,0.017,76418.1,76338.3,-1.3566,0.51910044,USDC,-1.87570044,76236,3.0957,3.0141,2.0553,0.973640857,0.663920923,-0.605905107,0.00%,4.88980044,CALCULATED,[76509909266],[76517692720],区间,双顶熊旗 / 双底牛旗（Double Top Bear Flag / Double Bottom Bull Flag）,突破颈线并完成测量移动,双底牛旗，向上突破,,C,40%,76782.3,2,0.2,55,是,,76236,,,,第二腿上涨完之后的回调过程中被打止损,
24,2026/09/17 13:57:31,2026/09/17 14:32:24,BTCUSDC,空,双向,0.01,76230.2,76386.5,-1.563,0.3049208,USDC,-1.8679208,76383,,0,2.3019208,,,,,1.8679208,CALCULATED,[76506551419],[76509705073],区间,其他,,继续向下延续第3推,,B,50%,75924.6,2,0.5,62.5,是,,76383,,,,向下三腿回调完后，继续向上延续大的第二腿上涨，在上涨突破中被打止损,
25,2026/09/17 10:51:56,2026/09/17 12:21:26,BTCUSDC,多,双向,0.02,76339.25,76153.3,-3.719,0.60922639,USDC,-4.32822639,76154,3.705,1.019,4.32822639,0.275033738,1.168212251,-1.168212251,0.00%,5.34722639,CALCULATED,"[76490606360,76496515630]",[1000002568377556],区间,扩张三角（Expanding Triangles）,小幅反转 / 两段调整,反弹后，在ema20上方形成扩张三角，在ema20附近限价入场,5m | #491 | 2026/09/17 10:45:00,B,60%,76680,1.839406208,0.703643725,67.59,,亏损,76154,,,,最后向下突破被打止损,
26,2026/09/17 09:48:42,2026/09/17 10:20:09,BTCUSDC,空,双向,0.01,76468.3,75960,5.083,0,USDC,5.083,76700,2.317,5.083,0.101,2.193785067,0.04359085,2.193785067,100.00%,0,CALCULATED,[76484920657],[76486979513],高潮 / 反转,II 形态（Inside-Inside）,首次突破,购买高潮后，出现双K线反转，并且连续的阴线,5m | #496 | 2026/09/17 09:35:00 | 限价单,B,50%,76004.9,2,0.5,62.5,是,,76700,,,,下方趋势线和EMA240支撑交汇点在75960附近，在这里挂限价止盈,
27,2026/09/17 02:42:21,2026/09/17 03:51:39,BTCUSDC,多,双向,0.01,75924.7,75963.5,0.38799999,0.6075528,USDC,-0.21955281,74932,,2.9343012,8.0506988,,,,0.00%,3.15385401,CALCULATED,[76442334284],[76452154228],区间,其他,,前面有突破了区间上沿，回调后再次往上突破，顺势做多,,B,50%,77910.1,2,0.5,62.5,是,,74932,,,,反复大涨大跌，再次向下突破了区间下沿，现在反弹至区间上沿后，力量显示很弱，提前离场，担心再次向下突破区间下沿。,
28,2026/09/16 23:47:30,2026/09/17 02:27:06,BTCUSDC,空,双向,0.01,75849.9,75863.9,-0.14,0.3034556,USDC,-0.4434556,76224,,6.48,6.351,,,,0.00%,6.9234556,CALCULATED,[76416670918],[76439706396],区间,其他,,区间上沿顶部做空,,C,50%,75450,1.068965517,0.034482759,50.86,是,,76224,,,,突破了区间上沿，在向下调整过程，小亏提前离场,
29,2026/09/16 22:06:28,2026/09/16 22:35:19,BTCUSDC,多,双向,0.01,75538,75654.1,1.161,0,USDC,1.161,75300,2.38,2.151,2.08,0.903781513,0.87394958,0.487815126,53.97%,0.99,CALCULATED,[76407893592],[76411740455],区间,其他,,双底，十字星,5m | #498 | 2026/09/16 22:05:00,C,40%,76014,2,0.2,55,是,,75300,,,,还是处于区间交易内，遇到区间上沿，反转向下，提前止盈离场，,
30,2026/09/16 21:50:41,2026/09/16 22:02:33,BTCUSDC,多,双向,0.01,75777.6,75459.4,-3.182,0.3018376,USDC,-3.4838376,75550,,0.816,3.4838376,,,,0.00%,4.2998376,CALCULATED,[76405943888],[76407388743],趋势,其他,,早盘开盘两根下跌K线后，开始反转，期待延续反转向上趋势,5m | #499 | 2026/09/16 21:45:00 | 限价单,B,50%,76232.8,2,0.5,62.5,是,,75550,,,,反弹受阻，继续向下突破中被止损,
31,2026/09/16 20:15:35,2026/09/16 20:24:03,BTCUSDC,多,双向,0.01,76011.4,75964,-0.474,0.303856,USDC,-0.777856,75898,1.134,0.654,0.777856,0.576719577,0.685940035,-0.685940035,0.00%,1.431856,CALCULATED,[76395197320],[76396278844],区间,其他,,ema20支撑后，形成第三推的上涨,5m | #524 | 2026/09/16 22:10:00,B,40%,76400,3.42680776,0.770723104,69.27,是,,75898,,,,继续向下突破中被打止损,
32,2026/09/16 18:17:12,2026/09/16 19:42:27,BTCUSDC,空,双向,0.01,75891.6,76071,-1.794,0.304284,USDC,-2.098284,76050,1.584,1.113,2.098284,0.702651515,1.324674242,-1.324674242,0.00%,3.211284,CALCULATED,[76384051696],[1000002566716043],区间,其他,,区间交易后V反，在大阴线信号K后做空，期望再次探底,5m | #492 | 2026/09/16 18:10:00 | 限价单,A,50%,75416.4,3,1,75,,,76050,,,,继续向上突破中被打止损，止损位置设置在前高附近,
33,2026/09/16 17:20:18,2026/09/16 17:58:34,BTCUSDC,空,双向,0.01,75744.2,75905.2,-1.61,0.3036208,USDC,-1.9136208,75900,1.558,0.217,1.9136208,0.13928113,1.228254686,-1.228254686,0.00%,2.1306208,CALCULATED,[76378842956],[1000002566651628],区间,其他,,期望再次向上突破失败，左侧挂单,,C,40%,75432.6,2,0.2,55,,,75900,,,,向上突破成功，被打止损,
34,2026/09/16 17:06:27,2026/09/16 17:17:57,BTCUSDC,空,双向,0.01,75790,75714.4,0.756,0.6060176,USDC,0.1499824,75875,0.85,0.61284,1.05316,0.720988235,1.239011765,0.176449882,24.47%,0.4628576,CALCULATED,[76377667691],[1000002566647642],区间,双 K 线反转（Two-Bar Reversal）,普通逆势反转,向上突破失败，形成长上影阴线，和K949形成双顶,5m | #974 | 2026/09/16 17:05:00,C,40%,75620,2,0.2,55,否,,75875,,,,向下突破失败，提前离场,
35,2026/09/16 15:10:09,2026/09/16 17:02:01,BTCUSDC,空,双向,0.02,75629.7,75647.2,0.542,0.7575974,USDC,-0.2155974,76006,6.634,4.4707676,0.7982324,0.673917335,0.12032445,-0.032498854,0.00%,4.686365,CALCULATED,"[76366342428,76376155991]","[76371534061,1000002566623484]",高潮 / 反转,双 K 线反转（Two-Bar Reversal）,普通逆势反转,购买高潮，双K线反转，大阴线，收在K线低点附近，下跌趋势有望继续延续,,C,40%,74877.1,2,0.2,55,是,盈利,76006,,,,抛售高潮后止盈一半，在ema20有左侧挂单做空，希望在20根K线空头均线缺口后，首次触碰ema20均线后，继续延续下跌趋势，多头连续向上突破，最后被打止损,
36,2026/09/16 13:06:40,2026/09/16 13:36:40,BTCUSDC,空,双向,0.01,75640.5,75848.2,-2.077,0.6059548,USDC,-2.6829548,75847,2.065,0.059438,2.6829548,0.028783535,1.299251719,-1.299251719,0.00%,2.7423928,CALCULATED,[76355009800],[1000002566364604],区间,其他,,ema20以下大阴线，收在K线体积一半以下，希望继续延续下跌趋势,,B,50%,75227.5,2,0.5,62.5,,,75847,,,,很快反转向上，站稳ema20之后，被打止损,
37,2026/09/16 11:09:13,2026/09/16 11:14:46,BTCUSDC,空,双向,0.01,75758.8,75877.5,-1.187,0.3030352,USDC,-1.4900352,76049,2.902,0,1.4900352,0,0.513451137,-0.513451137,,1.4900352,CALCULATED,[76343732333],[76344174249],区间,双 K 线反转（Two-Bar Reversal）,普通逆势反转,再次出现大阴线收在K线低点附近，形成双K线反转,,C,40%,75178.4,2,0.2,55,否,,76049,,,,在下一个大阳线收在高点附近，在ema20有有效支撑，小亏提前离场,
38,2026/09/16 10:49:19,2026/09/16 11:00:22,BTCUSDC,空,双向,0.01,75908.9,75834.6,0.743,0.3033384,USDC,0.4396616,76047,1.381,1.743,0.174,1.262128892,0.125995655,0.318364663,25.22%,1.3033384,CALCULATED,[76341811778],[1000002566218729],高潮 / 反转,双 K 线反转（Two-Bar Reversal）,普通逆势反转,三推上涨趋势完成，双K线反转,5m | #899 | 2026/09/16 10:40:00,C,40%,75632.7,2,0.2,55,是,,76047,,,,突破EMA20失败，小盈主动离场,
39,2026/09/16 08:20:58,2026/09/16 09:36:58,BTCUSDC,多,双向,0.01,75685.9,75481,-2.049,0.301924,USDC,-2.350924,75485,2.009,2.073,2.350924,1.031856645,1.170196117,-1.170196117,0.00%,4.423924,CALCULATED,[76325947998],[1000002566052858],趋势,其他,,区间交易回踩后的第2腿上涨,5m | #870 | 2026/09/16 08:15:00,B,50%,76087.7,2,0.5,62.5,否,,75485,,,,在向下突破过长中被打止损,
40,2026/09/16 00:56:37,2026/09/16 01:07:21,BTCUSDC,多,双向,0.01,76375.6,76188.97,-1.8663,0.30475588,USDC,-2.17105588,76190,1.856,0.48,2.17105588,0.25862069,1.169749935,-1.169749935,0.00%,2.65105588,CALCULATED,[76273590191],[1000002565382717],区间,其他,,连续阳线，希望继续往上突破,,,50%,76561.2,1,0,50,否,,76190,,,,出现收在ema下方阴线，并且收在低点附近，形成双K线反转，提前止损离场,
41,2026/09/16 00:09:45,2026/09/16 00:51:18,BTCUSDC,空,双向,0.02,76279.75,76301.45,-0.434,0.6099492,USDC,-1.0439492,76541,5.225,0.769974,3.508026,0.147363445,0.671392536,-0.19979889,0.00%,1.8139232,CALCULATED,"[76268569767,76269349879]","[76272141640,76273052091]",趋势,其他,,向下突破ema20，做空,,B,50%,75757.25,2,0.5,62.5,是,亏损,76541,,,,重新站回ema20，提前离场,
42,2026/09/15 23:49:17,2026/09/16 00:06:33,BTCUSDC,多,双向,0.01,76379.1,76392.6,0.135,0,USDC,0.135,76200,,1.61,0.241,,,,8.39%,1.475,CALCULATED,[76265757477],[76268145671],区间,其他,,继续缓慢上升趋势，有点要往上突破到更大区间感觉,5m | #769 | 2026/09/15 23:40:00,B,50%,76737.3,2,0.5,62.5,是,,76200,,,,在向下突破过程中，提前离场止损,
43,2026/09/15 23:39:15,2026/09/15 23:47:38,BTCUSDC,空,双向,0.01,76340.2,76385.3,-0.451,0.3055412,USDC,-0.7565412,76445,,0.283,0.7565412,,,,0.00%,1.0395412,CALCULATED,[76264679214],[76265665446],区间,其他,,在刚刚离场后，感觉有向下跌的趋势，害怕错过下跌趋势，fomo入场,,C,40%,76130.6,2,0.2,55,,,76445,,,,发现连续的阳线，继续在往上涨，提前离场,
44,2026/09/15 23:27:38,2026/09/15 23:37:06,BTCUSDC,空,双向,0.02,76361.6,76359,0.05199999,0,USDC,0.05199999,76641,5.588,3.228,0.328,0.577666428,0.058697208,0.009305653,1.61%,3.17600001,CALCULATED,"[76263075341,76263516443]",[76264516840],区间,双 K 线反转（Two-Bar Reversal）,普通逆势反转,和K749形成双顶，长上影阴线，突破失败,5m | #766 | 2026/09/15 23:25:00,C,40%,75802.8,2,0.2,55,是,,76641,,,,在EMA20形成强有力支撑，无法向下形成有效突破，提前离场,
45,2026/09/15 22:59:34,2026/09/15 23:11:32,BTCUSDC,多,双向,0.01,75868.4,75992.7,1.243,0.3034736,USDC,0.9395264,75535,3.334,1.4685264,1.3174736,0.440469826,0.395163047,0.28180156,63.98%,0.529,CALCULATED,[76259204872],[76260818511],区间,双 K 线反转（Two-Bar Reversal）,普通逆势反转,之前重要低点75500形成双底，同时双K线反转,5m | #760 | 2026/09/15 22:50:00,B,40%,76890,3.064187163,0.625674865,65.64,是,,75535,,,,在第一波上涨回调时候，持仓不够坚定，提前离场了,
46,2026/09/15 22:22:27,2026/09/15 22:35:19,BTCUSDC,多,双向,0.02,76255.75,76047.95,-4.156,0.6083836,USDC,-4.7643836,76050,4.115,0.843,4.7643836,0.204860267,1.157808894,-1.157808894,0.00%,5.6073836,CALCULATED,"[76252796273,76254859884]",[1000002565098973],区间,其他,,"突破回踩,计划在前低附近，形成双底，做反转",5m | #753 | 2026/09/15 22:15:00,C,40%,76667.25,2,0.2,55,否,亏损,76050,,,,,
47,2026/09/15 21:35:37,2026/09/15 22:01:06,BTCUSDC,多,双向,0.02,76460.95,76501.7,0.815,0.6120136,USDC,0.2029864,76050,8.219,3.581,8.143,0.435697773,0.990753133,0.024697214,5.67%,3.3780136,CALCULATED,"[76243912702,76244504063]",[76248967557],区间,其他,,向下突破失败后，小反转,,,40%,76871.9,1,-0.2,45,是,亏损,76050,,,,,
48,2026/09/15 09:57:41,2026/09/15 15:31:39,BTCUSDC,空,双向,0.02,77753.9,77206.62,10.9456,0.92920496,USDC,10.01639504,78100,6.922,12.544448,1.271552,1.812257729,0.183697197,1.447037712,79.85%,2.52805296,CALCULATED,"[76176074804,76198513204]","[76205281491,76205378163]",趋势,20 根均线缺口（20 Gap Bars Setup）,极强趋势首次触碰 20 EMA,20根空头缺口，第一次回踩ema20线，做空机会,5m | #605 | 2026/09/15 09:50:00,B,75%,77200.14,1.6,0.95,73.75,是,盈利,78100,,,,,
49,2026/09/15 00:25:16,2026/09/15 02:23:21,BTCUSDC,多,双向,0.02,78791.2,79215,8.476,0,USDC,8.476,78397,7.884,8.476,4.66,1.075088787,0.591070523,1.075088787,100.00%,0,CALCULATED,[76103860116],[76104022602],趋势,突破区间（往上收高点附近，往下收低点附近）,,"突破交易区间，回踩ema20,",,C,55%,79224.82,1.1,0.155,53.87,是,,78397,,,,,
50,2026/09/14 22:39:47,2026/09/15 00:18:06,BTCUSDC,空,双向,0.02,78380,78699,-6.38,0.629592,USDC,-7.009592,78667,5.74,2.702,7.009592,0.470731707,1.221183275,-1.221183275,0.00%,9.711592,CALCULATED,[76088548266],[1000002563160043],区间,双 K 线反转（Two-Bar Reversal）,普通逆势反转,突破失败，长上影，双K线反转，大阴线收在低位,,C,40%,77806,2,0.2,55,是,,78667,,,,在向上突破区间过程中被打止损,
51,2026/09/14 22:39:09,2026/09/14 22:39:36,BTCUSDC,空,双向,0.02,78401.9,78346.1,1.116,0.6267688,USDC,0.4892312,78667,,1.116,0,,,,43.84%,0.6267688,CALCULATED,[76088453943],[76088535922],区间,其他,,突破失败，双K线反转，左侧做空,,C,40%,77871.7,2,0.2,55,否,,78667,,,,,
52,2026/09/14 22:28:47,2026/09/14 22:31:16,BTCUSDC,空,双向,0.02,78388.1,78616,-4.558,0.628928,USDC,-5.186928,78610,4.438,1.526,5.186928,0.34384858,1.168753493,-1.168753493,0.00%,6.712928,CALCULATED,[76086563563],[1000002563135376],区间,双 K 线反转（Two-Bar Reversal）,普通逆势反转,三推双K线反转,5m | #499 | 2026/09/14 22:20:00,C,40%,77944.3,2,0.2,55,是,,78610,,,,向上突破高点后，被打止损,
53,2026/09/14 22:21:13,2026/09/14 22:28:05,BTCUSDC,空,双向,0.02,78418.5,78341.5,1.54,1.25407996,USDC,0.28592004,78608,3.79,4.66865203,2.05734797,1.231834309,0.542835876,0.075440644,6.12%,4.38273199,CALCULATED,[76085229854],[1000002563129822],区间,双 K 线反转（Two-Bar Reversal）,普通逆势反转,三推���，双K线反转,5m | #501 | 2026/09/14 22:20:00,C,40%,78039.5,2,0.2,55,是,,78608,,,,,
